"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"growthMedium";"measurementPosition";"measurementTime";"objective";"Zelltyp";"~File location";""
"3da55e85";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs28";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs28.asc";""
"d2f7e864";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs29";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs29.asc";""
"b5bba1b0";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs3";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs3.asc";""
"fd1670d1";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs30";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs30.asc";""
"5495abd4";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs4";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs4.asc";""
"bbc71d35";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs5";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs5.asc";""
"5141c057";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs6";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs6.asc";""
"be1376b6";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs7";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs7.asc";""
"486cd2de";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs8";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs8.asc";""
"a73e643f";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"2015-03-19, 13:01:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_Cs9";"asc";"Medium";"_Cs";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_Cs9.asc";""
