"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"celltype";"measurementLocation";"measurementPosition";"measurementTime";"cultureMedium";"lens";"~File location";""
"5efa845b";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (2)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (2).asc";""
"89180403";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (3)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (3).asc";""
"c3268f48";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (4)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (4).asc";""
"14c40f10";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (5)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (5).asc";""
"b79289b9";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (6)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (6).asc";""
"607009e1";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (7)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (7).asc";""
"23ef9f2f";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (8)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (8).asc";""
"f40d1f77";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (9)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_Cs1-15_300320150002 (9).asc";""
"a8041945";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (1)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (1).asc";""
"a492f26b";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (10)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (10).asc";""
"73707233";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (11)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (11).asc";""
"d026f49a";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (12)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (12).asc";""
"7c474c2";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (13)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (13).asc";""
"4dfaff89";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (14)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (14).asc";""
"b529fec";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (2)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (2).asc";""
"dcb01fb4";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (3)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (3).asc";""
"968e94ff";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (4)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (4).asc";""
"416c14a7";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (5)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (5).asc";""
"e23a920e";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (6)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (6).asc";""
"35d81256";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (7)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (7).asc";""
"76478498";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (8)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (8).asc";""
"a1a504c0";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"2015-03-31, 10:51:20";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (9)";"asc";"BHK_570";"_ZK";"_ZK";"50sec";"1xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_1xCMC_100oi_50sec_ZK1-15_300320150001 (9).asc";""
"1d47f04f";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_1-16BG_30032015";"asc";"BHK_570";"BG";"";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_1-16BG_30032015.asc";""
"c3bd572b";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_1-16_300320150016";"asc";"BHK_570";"";"";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_1-16_300320150016.asc";""
"c66de9db";"2015-03-31, 10:51:30";"2015-03-31, 10:51:30";"2015-03-31, 10:51:30";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_18-29BG_30032015";"asc";"BHK_570";"BG";"";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_18-29BG_30032015.asc";""
"7b1dc7fd";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (1)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (1).asc";""
"d84b4154";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (2)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (2).asc";""
"fa9c10c";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (3)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (3).asc";""
"45974a47";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (4)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (4).asc";""
"9275ca1f";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (5)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (5).asc";""
"31234cb6";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"2015-03-31, 10:51:28";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_100oi";"BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (6)";"asc";"BHK_570";"_Cs";"_Cs";"50sec";"2,5xCMC";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_100oi\\BHK_570_2,5xCMC_100oi_50sec_Cs1-16_300320150002 (6).asc";""
